address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x2013a98ad8,6,2,2,1,2507,171,0,ff,fe,0,28,23,1
0x20339a98b0,6,2,2,0,2517,398,0,ff,f7,0,30,6,2
0x202c018f8d,6,2,2,0,1555,249,5,0,4,2,37,49,3
0x2003f49146,6,2,2,2,489,272,6,0,4,2,56,33,4
0x201b6d1ce5,6,2,2,3,3498,460,5,ff,fd,3,38,0,5
0x200c8b918d,6,2,2,0,1607,281,5,0,4,3,57,26,6
0x20339a98b0,6,2,2,0,2517,398,0,ff,f7,4,24,38,7
0x2013a98ad8,6,2,2,1,2507,171,0,ff,fe,4,25,42,8
0x200c8b918d,6,2,2,0,1607,281,5,0,4,4,35,16,9
0x202c018f8d,6,2,2,0,1555,249,5,0,4,4,40,0,10
0x2028ee4d59,6,2,2,0,1148,723,1,ff,fd,5,13,36,11
0x201b6d1ce5,6,2,2,3,3498,460,5,ff,fd,5,20,58,12
0x202355c53e,6,2,2,0,435,599,6,ff,df,5,23,30,13
0x202355c53e,6,2,2,0,435,599,6,ff,df,5,29,24,14
0x20198b850c,6,2,2,1,3271,81,4,0,80,5,37,24,15
0x201f560385,6,2,2,0,4004,56,5,0,4,5,43,1,16
0x202a11dbbe,6,2,2,1,1299,959,6,0,1,6,20,46,17
0x2031641143,6,2,2,1,2232,272,3,0,2,6,28,44,18
0x20198b850c,6,2,2,1,3271,81,4,0,80,6,37,8,19
0x2010df933c,6,2,2,1,2151,311,4,0,40,6,38,58,20
0x2003f49146,6,2,2,2,489,272,6,0,4,6,41,26,21
0x2031641143,6,2,2,1,2232,272,3,0,2,7,7,36,22
0x202c018f8d,6,2,2,0,1555,249,5,0,4,7,18,38,23
0x20163893f5,6,2,2,3,2825,318,5,0,1,7,21,56,24
0x202a11dbbe,6,2,2,1,1299,959,6,0,1,7,42,6,25
0x2031641143,6,2,2,1,2232,272,3,0,2,7,44,38,26
0x2031641143,6,2,2,1,2232,272,3,0,2,8,23,54,27
0x201f560385,6,2,2,0,4004,56,5,0,4,8,26,6,28
0x2031641143,6,2,2,1,2232,272,3,0,2,8,49,24,29
0x200cf4cb75,6,2,2,3,1641,694,5,ff,f7,9,12,50,30
0x20198b850c,6,2,2,1,3271,81,4,0,80,9,17,53,31
0x2031641143,6,2,2,1,2232,272,3,0,2,9,31,20,32
0x2003f49146,6,2,2,2,489,272,6,0,4,9,34,6,33
0x200c8b918d,6,2,2,0,1607,281,5,0,4,9,43,27,34
0x201f560385,6,2,2,0,4004,56,5,0,4,9,50,19,35
0x201b6d1ce5,6,2,2,3,3498,460,5,ff,fd,10,3,23,36
0x20198b850c,6,2,2,1,3271,81,4,0,80,10,38,10,37
0x202a11dbbe,6,2,2,1,1299,959,6,0,1,10,40,10,38
0x201b6d1ce5,6,2,2,3,3498,460,5,ff,fd,10,54,30,39
0x20163893f5,6,2,2,3,2825,318,5,0,1,11,42,51,40
0x200c8b918d,6,2,2,0,1607,281,5,0,4,12,43,25,41
0x200fefd1d0,6,2,2,1,2031,794,0,0,2,12,44,13,42
0x2013a98ad8,6,2,2,1,2507,171,0,ff,fe,12,51,49,43
0x201f560385,6,2,2,0,4004,56,5,0,4,13,12,53,44
0x201aef0ede,6,2,2,0,3438,235,6,ff,fb,13,40,52,45
0x2031641143,6,2,2,1,2232,272,3,0,2,14,53,15,46
0x20198b850c,6,2,2,1,3271,81,4,0,80,15,25,35,47
0x2031641143,6,2,2,1,2232,272,3,0,2,16,13,20,48
0x201aef0ede,6,2,2,0,3438,235,6,ff,fb,16,20,21,49
0x201b6d1ce5,6,2,2,3,3498,460,5,ff,fd,16,23,40,50
0x20163893f5,6,2,2,3,2825,318,5,0,1,17,0,5,51
0x2013a98ad8,6,2,2,1,2507,171,0,ff,fe,17,12,40,52
0x200cf4cb75,6,2,2,3,1641,694,5,ff,f7,18,9,37,53
0x202c018f8d,6,2,2,0,1555,249,5,0,4,18,38,49,54
0x200cf4cb75,6,2,2,3,1641,694,5,ff,f7,19,27,55,55
0x202355c53e,6,2,2,0,435,599,6,ff,df,19,34,27,56
