address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x203c454b18,11,2,2,0,3634,691,0,0,20,0,0,18,1
0x2005a95261,11,2,2,1,714,804,1,0,80,0,0,19,2
0x2005a95ec2,11,2,2,1,714,1000,2,0,8,0,0,19,3
0x20194c4234,11,2,2,3,3232,550,4,0,80,0,0,20,4
0x20194d5937,11,2,2,3,3234,918,7,0,80,0,0,20,5
0x20133341ed,11,2,2,0,2446,541,5,0,8,0,0,23,6
0x2013335c7d,11,2,2,0,2446,967,5,0,8,0,0,23,7
0x203311070b,11,2,2,0,2450,113,3,0,4,0,0,23,8
0x2006324dcd,11,2,2,1,780,729,5,0,20,0,0,24,9
0x2022f7486c,11,2,2,3,382,645,4,0,2,0,0,25,10
0x2012540f06,11,2,2,1,2336,240,6,0,20,0,0,29,11
0x2012555a29,11,2,2,1,2338,933,1,0,4,0,0,29,12
0x20380a1d85,11,2,2,2,3092,472,5,0,8,0,0,30,13
0x2022df16bb,11,2,2,1,374,367,3,0,2,0,0,32,14
0x2016e7056d,11,2,2,2,2926,85,5,0,2,0,0,32,15
0x2014ab45dc,11,2,2,0,2638,603,4,0,1,0,0,34,16
0x201a124e26,11,2,2,1,3332,740,6,0,20,0,0,37,17
0x2028aa5be3,11,2,2,0,1116,956,3,0,1,0,0,39,18
0x2028ab17fc,11,2,2,0,1118,383,4,0,8,0,0,39,19
0x2008cd14ab,11,2,2,0,1122,333,3,0,1,0,0,39,20
0x2003d608b4,11,2,2,2,484,142,4,0,4,0,0,40,21
0x2003d752ab,11,2,2,2,486,813,3,0,8,0,0,40,22
0x2003f656cc,11,2,2,2,492,873,4,0,1,0,0,40,23
0x20369908ab,11,2,2,1,2898,141,3,0,8,0,0,42,24
0x202eed55e2,11,2,2,0,1914,860,2,0,1,0,0,44,25
0x202def07fd,11,2,2,1,1790,127,5,0,20,0,0,45,26
0x2022c54c9b,11,2,2,2,370,715,3,0,80,0,0,45,27
0x20267749dd,11,2,2,1,830,667,5,0,10,0,0,47,28
0x20205e5895,11,2,2,3,52,906,5,0,4,0,0,49,29
0x20205f428a,11,2,2,3,54,553,2,0,20,0,0,49,30
0x20205f4a0b,11,2,2,3,54,673,3,0,20,0,0,49,31
0x202a835aaa,11,2,2,2,1366,941,2,0,8,0,0,51,32
0x202aa11ee3,11,2,2,2,1370,492,3,0,1,0,0,51,33
0x202b83491b,11,2,2,3,1494,659,3,0,4,0,0,51,34
0x202ba158c1,11,2,2,3,1498,904,1,0,1,0,0,51,35
0x201e461126,11,2,2,0,3876,276,6,0,40,0,0,52,36
0x201e4614a7,11,2,2,0,3876,332,7,0,1,0,0,52,37
0x201e47150a,11,2,2,0,3878,337,2,0,40,0,0,52,38
0x20385c0716,11,2,2,3,3120,114,6,0,4,0,0,54,39
0x20385d0719,11,2,2,3,3122,115,1,0,1,0,0,54,40
0x203aef1dfc,11,2,2,0,3454,479,4,0,2,0,0,54,41
0x201b11049b,11,2,2,0,3458,75,3,0,1,0,0,54,42
0x201b115496,11,2,2,0,3458,842,6,0,1,0,0,54,43
0x20205d4886,11,2,2,3,50,648,6,0,4,0,0,56,44
0x2038ff0b4f,11,2,2,1,3198,177,7,0,80,0,0,58,45
0x2019014f3b,11,2,2,1,3202,759,3,0,20,0,0,58,46
0x20291b4239,11,2,2,2,1174,551,1,0,4,0,0,58,47
0x20291b4dbb,11,2,2,2,1174,735,3,0,20,0,0,58,48
0x202af610d2,11,2,2,3,1404,266,2,0,4,0,0,59,49
0x200b085d95,11,2,2,3,1408,986,5,0,1,0,0,59,50
0x200b095d99,11,2,2,3,1410,987,1,0,8,0,0,59,51
0x20139907a4,11,2,2,0,2498,124,4,0,20,0,1,0,52
0x20139b0ea8,11,2,2,0,2502,237,0,0,40,0,1,0,53
0x2001d54aa9,11,2,2,2,226,685,1,0,10,0,1,1,54
0x2022565f2a,11,2,2,1,308,1013,2,0,10,0,1,3,55
0x201ddd1a34,11,2,2,0,3810,422,4,0,10,0,1,5,56
0x2023211253,11,2,2,1,410,290,3,0,40,0,1,5,57
0x2023211b72,11,2,2,1,410,438,2,0,1,0,1,5,58
0x2023215ec3,11,2,2,1,410,1000,3,0,8,0,1,5,59
0x202322554c,11,2,2,1,412,849,4,0,20,0,1,5,60
0x200a3305cc,11,2,2,1,1294,89,4,0,80,0,1,8,61
0x200108953b,11,2,2,3,129,343,3,ff,ef,0,1,12,62
0x2015325c6c,11,2,2,0,2700,965,4,0,8,0,1,13,63
0x2024a247e3,11,2,2,2,604,636,3,0,40,0,1,14,64
0x2024a31acc,11,2,2,2,606,425,4,0,80,0,1,14,65
0x2004c45104,11,2,2,2,608,784,4,0,10,0,1,14,66
0x201af65f7e,11,2,2,3,3436,1015,6,0,1,0,1,14,67
0x203cb35a4e,11,2,2,3,3678,929,6,0,8,0,1,17,68
0x2033551639,11,2,2,0,2482,359,1,0,40,0,1,18,69
0x20002a1d62,11,2,2,2,12,468,2,0,20,0,1,19,70
0x2023465088,11,2,2,1,436,777,0,0,80,0,1,21,71
0x2023645040,11,2,2,1,440,768,0,0,2,0,1,21,72
0x2004395040,11,2,2,3,522,768,0,0,4,0,1,22,73
0x203f321073,11,2,2,0,3996,262,3,0,10,0,1,23,74
