address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x2033a28ef5,48,2,2,3,2525,238,5,ff,bf,0,28,38,1
0x2014299fef,48,2,2,2,2571,509,7,ff,fd,1,26,14,2
0x2030ee96db,34,2,2,0,2173,363,3,ff,bf,2,45,45,3
0x202ace420c,49,2,2,0,1396,545,4,ff,fb,7,40,58,4
0x2036468815,30,2,2,0,2869,130,5,0,2,8,59,59,5
0x200919c330,43,2,2,2,1155,566,0,ff,fd,9,6,33,6
0x2023ab5344,47,2,2,1,478,816,4,0,10,9,45,35,7
0x2037fd50fb,49,2,2,0,3066,783,3,0,80,10,9,53,8
0x20202a5a63,33,2,2,2,28,932,3,ff,ef,10,36,28,9
0x2035e685d4,41,2,2,3,2813,90,4,0,1,13,1,39,10
0x201699d686,48,2,2,1,2883,872,6,ff,f7,13,50,42,11
0x201699d686,48,2,2,1,2883,872,6,ff,f7,17,12,25,12
0x2013564a24,49,2,2,0,2468,676,4,ff,df,17,22,9,13
0x202d89062e,37,2,2,1,1746,101,6,0,20,19,20,24,14
0x200d31494e,43,2,2,0,1674,657,6,0,10,22,33,20,15
0x2011fe58f0,50,2,2,0,2284,910,0,ff,7f,27,8,13,16
0x2011fe58f0,50,2,2,0,2284,910,0,ff,7f,29,27,29,17
0x202901071a,46,2,2,1,1170,115,2,ff,fe,29,36,26,18
0x2002fc00e0,43,2,2,1,360,12,0,0,2,31,21,38,19
0x203ef6ceff,46,2,2,3,3965,751,7,0,8,31,36,35,20
0x2038800e9e,35,2,2,2,3152,235,6,ff,7f,31,54,11,21
0x201cf495ef,43,2,2,3,3689,349,7,ff,df,32,19,22,22
0x202ace420c,31,2,2,0,1396,545,4,ff,fb,34,17,44,23
0x200d31494e,49,2,2,0,1674,657,6,0,10,35,41,56,24
0x201df58dec,29,2,2,2,3819,221,4,0,8,37,53,42,25
0x2009a154f9,49,2,2,3,1226,847,1,0,20,39,27,47,26
0x203b819730,24,2,2,3,3539,374,0,0,4,41,19,43,27
0x2016b150ea,47,2,2,3,2890,781,2,ff,fb,42,34,44,28
0x2011fe58f0,29,2,2,0,2284,910,0,ff,7f,48,3,35,29
0x2031295150,39,2,2,3,2202,786,0,ff,7f,50,43,24,30
0x200e90961b,37,2,2,3,1857,355,3,0,8,51,7,8,31
0x2007ba9ced,43,2,2,0,973,461,5,ff,fd,52,53,32,32
0x20015e42a5,50,2,2,2,164,556,5,0,1,55,14,2,33
0x20230156a6,50,2,2,1,402,876,6,ff,f7,56,2,1,34
0x2014b90744,41,2,2,1,2634,112,4,0,4,57,12,36,35
0x2038800e9e,41,2,2,2,3152,235,6,ff,7f,57,51,2,36
0x200589cc2f,31,2,2,1,707,709,7,0,2,62,47,33,37
0x202b67c0db,49,2,2,1,1471,523,3,0,20,65,47,49,38
0x203203c505,42,2,2,0,2327,592,5,0,8,68,29,59,39
0x2026a18946,47,2,2,2,859,144,6,0,1,69,57,17,40
0x2000991b24,32,2,2,1,66,436,4,ff,fd,72,38,28,41
0x203a64546a,46,2,2,0,3384,837,2,0,4,72,45,11,42
0x203dee0362,31,2,2,1,3836,52,2,0,1,73,50,24,43
0x2023ab5344,38,2,2,1,478,816,4,0,10,75,3,21,44
0x200a9946ad,43,2,2,1,1346,621,5,ff,fd,76,54,32,45
0x2021c5183e,46,2,2,3,242,391,6,0,40,77,52,42,46
0x202b4502b7,51,2,2,1,1458,46,7,ff,7f,78,17,30,47
0x2007fe8475,35,2,2,0,1005,70,5,0,8,81,41,34,48
0x2009bad066,46,2,2,0,1229,772,6,0,10,81,43,8,49
0x2005f651e3,51,2,2,2,748,796,3,0,1,82,8,8,50
0x200cc7c39d,44,2,2,2,1639,571,5,ff,fe,82,11,44,51
0x2036d61f24,50,2,2,3,2932,500,4,0,2,84,32,6,52
0x20379a0e10,45,2,2,0,3028,226,0,ff,fd,84,40,45,53
0x2009bad066,29,2,2,0,1229,772,6,0,10,86,19,30,54
0x201699d686,44,2,2,1,2883,872,6,ff,f7,92,16,56,55
0x20286d5f5e,48,2,2,2,1082,1011,6,0,80,92,41,37,56
0x20244d1a1e,44,2,2,2,562,419,6,ff,fe,92,50,35,57
0x202ace420c,46,2,2,0,1396,545,4,ff,fb,93,24,27,58
0x201277d652,32,2,2,1,2351,866,2,ff,fd,93,41,45,59
0x2001314ed8,50,2,2,0,138,747,0,0,20,96,22,51,60
0x20186406f8,42,2,2,0,3112,111,0,0,10,99,0,5,61
0x202e545624,30,2,2,1,1840,868,4,ff,fd,99,12,59,62
0x201699d686,39,2,2,1,2883,872,6,ff,f7,99,23,42,63
0x2009bad066,48,2,2,0,1229,772,6,0,10,100,56,18,64
0x2036d61f24,42,2,2,3,2932,500,4,0,2,101,38,43,65
0x202491d595,22,2,2,3,595,858,5,ff,fd,101,41,11,66
0x202491d595,51,2,2,3,595,858,5,ff,fd,101,45,0,67
0x2009bad066,49,2,2,0,1229,772,6,0,10,103,10,59,68
0x203f5d9b05,43,2,2,2,4019,432,5,ff,df,103,43,41,69
0x2011fe58f0,35,2,2,0,2284,910,0,ff,7f,105,33,0,70
0x201277d652,50,2,2,1,2351,866,2,ff,fd,105,40,6,71
0x2033a28ef5,48,2,2,3,2525,238,5,ff,bf,107,6,18,72
0x203dee0362,49,2,2,1,3836,52,2,0,1,107,49,36,73
0x20244d1a1e,36,2,2,2,562,419,6,ff,fe,108,16,31,74
0x200919c330,38,2,2,2,1155,566,0,ff,fd,110,31,14,75
0x203f094296,40,2,2,3,3986,554,6,ff,ef,111,19,36,76
0x20244d1a1e,47,2,2,2,562,419,6,ff,fe,112,23,5,77
0x203dee0362,29,2,2,1,3836,52,2,0,1,113,13,25,78
0x2009aa14d6,51,2,2,1,1228,330,6,ff,fd,115,16,38,79
0x2025a10e5d,35,2,2,3,730,227,5,0,40,116,11,55,80
0x2039284268,49,2,2,3,3224,549,0,ff,bf,117,40,28,81
0x201f0ac238,51,2,2,3,3973,551,0,0,10,122,29,0,82
0x2033a28ef5,22,2,2,3,2525,238,5,ff,bf,122,39,35,83
0x20015e42a5,32,2,2,2,164,556,5,0,1,124,59,51,84
0x200ae698f4,36,2,2,2,1389,398,4,0,10,125,29,11,85
0x2013564a24,24,2,2,0,2468,676,4,ff,df,130,6,30,86
0x2003d5c6b2,44,2,2,2,483,622,2,0,40,130,47,26,87
0x2002b9c5cc,37,2,2,1,331,601,4,0,20,136,56,14,88
0x202a6ec06d,50,2,2,2,1341,517,5,ff,bf,139,22,25,89
0x2017e755df,32,2,2,3,3054,859,7,0,20,139,39,3,90
0x201f4e1013,30,2,2,3,4004,258,3,ff,7f,139,53,13,91
0x20252b5ac5,48,2,2,3,670,936,5,ff,f7,139,55,44,92
0x2016b150ea,37,2,2,3,2890,781,2,ff,fb,140,13,17,93
0x20355d851c,43,2,2,2,2739,83,4,ff,bf,140,42,55,94
0x202dc50f08,49,2,2,3,1778,241,0,ff,fd,142,10,25,95
0x203dde0425,43,2,2,0,3828,68,5,ff,bf,143,54,58,96
0x2031295150,47,2,2,3,2202,786,0,ff,7f,143,55,44,97
0x2009bad066,43,2,2,0,1229,772,6,0,10,144,38,12,98
0x201a01990d,51,2,2,0,3331,401,5,0,2,146,54,3,99
0x20029a561d,44,2,2,1,324,867,5,0,10,147,7,19,100
0x201ede9d05,22,2,2,1,3941,464,5,0,8,148,2,20,101
0x2033a28ef5,45,2,2,3,2525,238,5,ff,bf,149,12,25,102
0x201b38d94e,46,2,2,2,3465,913,6,ff,bf,149,26,58,103
0x202b67c0db,48,2,2,1,1471,523,3,0,20,149,36,52,104
0x2009bad066,48,2,2,0,1229,772,6,0,10,149,41,37,105
0x20019089a9,45,2,2,2,193,157,1,ff,f7,151,26,54,106
0x2012740dea,45,2,2,1,2344,221,2,0,10,151,31,39,107
0x200f9109bf,43,2,2,2,1986,159,7,0,2,153,55,28,108
0x203c7e57d4,43,2,2,3,3644,890,4,0,80,153,55,30,109
0x2009a154f9,45,2,2,3,1226,847,1,0,20,154,15,3,110
0x201b38d94e,42,2,2,2,3465,913,6,ff,bf,156,14,36,111
0x20029a561d,31,2,2,1,324,867,5,0,10,161,54,10,112
0x2005b38942,26,2,2,2,719,144,2,0,8,168,27,32,113
0x201699d686,31,2,2,1,2883,872,6,ff,f7,168,37,38,114
0x20244d1a1e,47,2,2,2,562,419,6,ff,fe,170,35,8,115
0x2031119c3b,32,2,2,0,2195,455,3,ff,f7,170,57,1,116
0x203dde0425,39,2,2,0,3828,68,5,ff,bf,171,7,31,117
0x2009bad066,48,2,2,0,1229,772,6,0,10,172,16,6,118
0x2000a21d46,51,2,2,2,76,464,6,ff,bf,174,36,2,119
0x2030d58e05,18,2,2,3,2163,224,5,0,80,175,15,10,120
0x2009bad066,51,2,2,0,1229,772,6,0,10,175,38,23,121
0x201d56599b,38,2,2,0,3748,923,3,ff,bf,177,50,50,122
0x2024d48c23,44,2,2,3,625,196,3,0,4,177,51,48,123
0x2009bad066,49,2,2,0,1229,772,6,0,10,177,52,30,124
0x200f9109bf,29,2,2,2,1986,159,7,0,2,178,28,12,125
0x201d030781,42,2,2,1,3718,120,1,ff,7f,180,15,29,126
0x200f9109bf,44,2,2,2,1986,159,7,0,2,180,30,13,127
0x201699d686,46,2,2,1,2883,872,6,ff,f7,180,44,55,128
0x20156c8fff,26,2,2,3,2729,255,7,0,2,180,52,1,129
0x2003825ea6,43,2,2,3,452,1004,6,ff,df,182,1,19,130
0x201d674a5d,39,2,2,1,3758,675,5,0,20,182,24,42,131
0x200e011cbe,40,2,2,0,1794,463,6,0,20,182,29,35,132
0x20254e962f,29,2,2,3,693,357,7,ff,fd,182,47,32,133
0x2003d5c6b2,26,2,2,2,483,622,2,0,40,185,35,20,134
0x202bcdcc1f,23,2,2,1,1523,707,7,0,1,187,44,40,135
0x2020d59b28,45,2,2,3,115,437,0,ff,fb,187,47,27,136
0x2002e54dce,39,2,2,2,362,729,6,0,2,189,51,23,137
0x201df58dec,41,2,2,2,3819,221,4,0,8,190,1,17,138
0x201575c275,51,2,2,0,2731,550,5,0,2,191,58,5,139
0x2033a28ef5,33,2,2,3,2525,238,5,ff,bf,192,33,55,140
0x2005f651e3,42,2,2,2,748,796,3,0,1,196,54,24,141
