address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x20245e1008,44,2,2,3,564,257,0,0,40,0,41,39,1
0x200c2115e4,51,2,2,0,1546,348,4,ff,fe,0,56,50,2
0x200d9810ae,50,2,2,0,1728,269,6,0,20,2,23,15,3
0x202b4e1238,45,2,2,3,1460,295,0,0,40,2,27,20,4
0x200bfe976a,43,2,2,0,1517,373,2,0,1,7,34,56,5
0x203700cebc,51,2,2,1,2961,751,4,0,10,7,55,33,6
0x2021a8c3cd,51,2,2,1,217,569,5,ff,7f,9,55,50,7
0x2021a9da53,51,2,2,1,219,930,3,ff,ef,9,55,50,8
0x201944de31,46,2,2,1,3233,998,1,ff,fd,10,47,56,9
0x201793df36,17,2,2,2,3015,1014,6,ff,bf,12,35,19,10
0x2001a80fde,45,2,2,1,200,251,6,ff,fb,14,5,3,11
0x2029124aa6,50,2,2,0,1172,684,6,ff,bf,14,39,33,12
0x203b4c80ac,47,2,2,3,3505,13,4,0,20,15,46,31,13
0x202e0144aa,17,2,2,0,1810,589,2,ff,fe,20,2,50,14
0x20363b9be7,43,2,2,3,2847,444,7,ff,f7,20,20,9,15
0x2023b351ea,44,2,2,2,478,797,2,ff,f7,21,8,24,16
0x200b46c4a8,34,2,2,1,1445,589,0,ff,7f,24,38,44,17
0x203130ded3,45,2,2,0,2201,1002,3,ff,7f,25,57,14,18
0x2024901ebb,51,2,2,3,592,495,3,0,4,26,36,54,19
0x2009674266,51,2,2,1,1198,548,6,ff,fd,31,30,20,20
0x203664c448,51,2,2,0,2873,577,0,ff,ef,32,28,1,21
0x2023df44b6,51,2,2,0,502,590,6,ff,bf,36,38,15,22
0x203f2019cd,11,2,2,1,3992,409,5,ff,f7,37,21,56,23
0x200d3bd5e4,45,2,2,2,1679,860,4,ff,7f,38,8,43,24
0x202508d025,45,2,2,3,657,772,5,ff,ef,38,28,0,25
0x2014094eb1,51,2,2,2,2562,750,1,ff,fe,39,2,40,26
0x201a339f64,51,2,2,1,3343,500,4,0,20,39,41,8,27
0x2013e48570,46,2,2,3,2537,86,0,0,4,44,0,15,28
0x20287c4945,51,2,2,3,1080,656,5,0,10,44,10,45,29
0x2018d641a3,45,2,2,3,3172,540,3,0,80,44,33,46,30
0x200b1b0ea4,51,2,2,2,1414,236,4,0,2,48,59,26,31
0x201ab21cf4,47,2,2,3,3404,462,4,0,2,50,15,47,32
0x201a2b08c8,45,2,2,2,3342,137,0,ff,fb,52,10,54,33
0x2019d700bc,48,2,2,2,3302,15,4,ff,7f,52,11,23,34
0x2003d6cbbf,47,2,2,2,485,703,7,0,40,54,30,49,35
0x202e03862b,51,2,2,0,1815,101,3,0,2,58,8,1,36
0x202e47ceab,51,2,2,0,1847,749,3,0,10,58,8,1,37
0x2031c59399,47,2,2,3,2291,315,1,ff,fb,59,38,53,38
0x203757d11b,11,2,2,0,2999,787,3,ff,df,61,59,23,39
0x2032331df3,51,2,2,1,2334,478,3,ff,fe,62,13,29,40
0x203a5f8414,50,2,2,3,3383,66,4,0,40,62,37,27,41
0x200729c954,51,2,2,3,907,658,4,0,8,62,37,37,42
0x20036d5bf3,49,2,2,3,426,958,3,ff,7f,62,56,31,43
0x202d54ce80,45,2,2,0,1713,744,0,0,2,63,10,11,44
0x2024005b2e,51,2,2,0,528,949,6,0,20,63,20,49,45
0x201f080fb0,50,2,2,3,3968,254,0,ff,f7,63,54,27,46
0x2009cf1434,51,2,2,1,1254,326,4,0,10,64,4,10,47
0x2029a954c2,46,2,2,1,1242,840,2,0,40,64,8,6,48
0x202b4e41bb,45,2,2,3,1460,543,3,0,80,64,46,32,49
0x2014efcc6c,44,2,2,0,2671,709,4,ff,df,65,24,46,50
0x2031745144,19,2,2,0,2232,784,4,0,2,67,7,48,51
0x2021cf0b9f,45,2,2,1,246,187,7,0,4,67,30,3,52
0x20023056f6,45,2,2,1,264,878,6,0,8,67,30,3,53
0x201c7ec3e4,50,2,2,3,3629,572,4,0,2,70,43,28,54
0x200108d126,48,2,2,3,129,788,6,0,2,70,57,34,55
0x2031b3cdcd,45,2,2,2,2271,729,5,ff,bf,73,11,46,56
0x20255545a8,32,2,2,0,690,605,0,0,2,74,31,43,57
0x2013e48570,46,2,2,3,2537,86,0,0,4,75,17,7,58
0x20064d85bd,17,2,2,2,803,95,5,0,20,75,18,34,59
0x200bb04fd4,37,2,2,2,1480,762,4,ff,fd,75,25,20,60
0x2013a25ffd,49,2,2,3,2508,1023,5,ff,7f,75,46,28,61
0x2031c59399,51,2,2,3,2291,315,1,ff,fb,75,56,27,62
0x2028a28455,49,2,2,2,1117,66,5,0,20,78,39,41,63
0x20153b13ea,51,2,2,2,2702,317,2,0,8,79,18,30,64
0x2034105036,34,2,2,1,2576,774,6,ff,bf,79,49,34,65
0x202b0a06ba,47,2,2,3,1428,111,2,ff,fd,80,30,3,66
0x201cc4403b,47,2,2,2,3680,519,3,0,4,82,39,55,67
0x202908d505,40,2,2,3,1169,848,5,ff,7f,84,0,41,68
0x2034aacbd9,45,2,2,0,2653,699,1,ff,fe,86,16,5,69
0x201a7d11ed,50,2,2,3,3370,285,5,ff,fe,86,45,56,70
0x203aba176d,34,2,2,1,3420,373,5,ff,fb,87,12,19,71
0x2023571f14,49,2,2,0,438,498,4,0,4,87,24,7,72
0x201c3919d7,49,2,2,3,3594,410,7,ff,fe,88,7,34,73
0x2030828217,50,2,2,2,2133,34,7,0,1,91,10,32,74
0x2030828217,34,2,2,2,2133,34,7,0,1,91,27,25,75
0x202f2b03d1,51,2,2,3,1950,58,1,0,40,91,39,40,76
0x203b4c423e,50,2,2,3,3504,551,6,ff,fb,91,53,54,77
0x203f2019cd,43,2,2,1,3992,409,5,ff,f7,92,16,44,78
0x20011bd10a,51,2,2,2,135,785,2,ff,bf,96,47,35,79
0x2005b05dd7,50,2,2,2,712,986,7,ff,fb,97,40,20,80
0x201ec44a81,51,2,2,2,3936,680,1,ff,fb,99,55,16,81
0x2014efcc6c,45,2,2,0,2671,709,4,ff,df,101,30,25,82
0x201c7ec3e4,49,2,2,3,3629,572,4,0,2,101,40,50,83
0x2012304ac4,51,2,2,1,2312,680,4,ff,7f,101,41,6,84
0x202db915ed,48,2,2,0,1754,349,5,ff,df,102,38,16,85
0x203edf8503,10,2,2,1,3959,80,3,ff,ef,105,51,38,86
0x20325c4620,47,2,2,3,2352,612,0,0,10,108,10,17,87
0x2035b29446,45,2,2,2,2781,320,6,0,20,110,48,43,88
0x201f080fb0,50,2,2,3,3968,254,0,ff,f7,112,45,6,89
0x2015fc95c1,47,2,2,0,2793,344,1,ff,fb,112,58,53,90
0x2025a251d3,34,2,2,3,732,794,3,0,80,113,54,54,91
0x201f080fb0,44,2,2,3,3968,254,0,ff,f7,114,49,13,92
0x2015ccda8d,51,2,2,1,2785,937,5,ff,bf,114,59,56,93
0x2025658ad4,49,2,2,1,699,170,4,ff,ef,116,59,54,94
0x20255545a8,51,2,2,0,690,605,0,0,2,120,3,4,95
0x201656d60b,17,2,2,1,2853,865,3,0,20,123,16,15,96
0x20318196ae,45,2,2,3,2259,365,6,ff,ef,123,38,45,97
0x200108d126,48,2,2,3,129,788,6,0,2,125,10,39,98
0x2027d78689,47,2,2,2,1015,105,1,0,40,125,53,46,99
0x202bfe8a4c,49,2,2,0,1533,161,4,0,1,127,49,32,100
0x2013e48570,50,2,2,3,2537,86,0,0,4,131,55,16,101
0x202ee7cdf8,51,2,2,2,1919,735,0,0,20,133,36,28,102
0x20179b47b0,51,2,2,0,3014,638,0,0,80,134,53,20,103
0x201f080fb0,47,2,2,3,3968,254,0,ff,f7,135,21,40,104
0x20201a5319,45,2,2,3,20,819,1,0,80,136,9,28,105
0x2009c49cb5,45,2,2,3,1249,462,5,0,8,139,21,56,106
0x2016a3106b,49,2,2,2,2894,261,3,ff,ef,140,39,35,107
0x2007ffc86a,46,2,2,0,1007,645,2,0,8,141,46,21,108
0x200b8bd098,43,2,2,1,1479,779,0,ff,df,142,10,0,109
0x201290da14,45,2,2,3,2369,930,4,ff,df,143,56,13,110
0x201df4025d,49,2,2,2,3816,35,5,ff,bf,144,25,44,111
0x2018674ef6,47,2,2,0,3118,750,6,ff,fd,144,44,35,112
0x200dcf1fbc,43,2,2,1,1766,511,4,0,10,146,58,43,113
0x200098ccbc,47,2,2,1,65,719,4,ff,ef,147,52,20,114
0x20255545a8,37,2,2,0,690,605,0,0,2,151,36,57,115
0x201403162d,45,2,2,0,2566,357,5,0,20,152,40,40,116
0x202bfe8a4c,48,2,2,0,1533,161,4,0,1,152,45,59,117
0x2004c49d24,51,2,2,2,609,468,4,ff,f7,154,56,32,118
0x2013e48570,48,2,2,3,2537,86,0,0,4,155,10,28,119
0x20397cd976,48,2,2,2,3257,918,6,ff,7f,156,22,36,120
0x2019c40621,43,2,2,3,3296,100,1,ff,f7,156,36,15,121
0x200bf58555,50,2,2,2,1515,82,5,ff,bf,156,42,12,122
0x201a66026f,51,2,2,0,3372,37,7,0,8,158,4,6,123
0x200a678a41,34,2,2,0,1327,160,1,ff,fe,158,20,48,124
0x200d67c3e5,43,2,2,1,1711,572,5,ff,ef,160,46,25,125
0x2023b351ea,30,2,2,2,478,797,2,ff,f7,161,52,8,126
0x2007c490be,51,2,2,3,993,271,6,ff,fd,163,21,49,127
0x200a8845b3,43,2,2,0,1344,606,3,0,40,163,29,58,128
0x2026649bd2,3,2,2,0,825,442,2,ff,ef,164,9,57,129
0x2034a342e2,45,2,2,2,2654,556,2,0,1,166,4,24,130
0x20151b18a7,45,2,2,2,2694,396,7,0,1,166,4,24,131
0x20224e9994,50,2,2,2,309,410,4,0,2,166,34,7,132
0x201a1841bd,51,2,2,3,3328,543,5,ff,bf,167,56,9,133
0x202f7f1e5f,51,2,2,2,1982,483,7,0,10,168,10,31,134
0x201f080fb0,33,2,2,3,3968,254,0,ff,f7,168,22,17,135
0x20339a4234,34,2,2,0,2516,550,4,ff,ef,171,25,12,136
0x201afcddc6,48,2,2,1,3433,984,6,ff,f7,171,32,6,137
0x2009cf1434,49,2,2,1,1254,326,4,0,10,171,46,43,138
0x200babd273,43,2,2,1,1487,806,3,0,40,173,26,47,139
0x2039209dea,51,2,2,1,3225,477,2,ff,ef,173,28,8,140
0x203700cebc,48,2,2,1,2961,751,4,0,10,173,46,50,141
0x20261250a8,45,2,2,1,788,781,0,ff,ef,174,24,50,142
0x200108d126,50,2,2,3,129,788,6,0,2,174,40,13,143
0x2031c59399,51,2,2,3,2291,315,1,ff,fb,175,57,23,144
0x2031b3cdcd,48,2,2,2,2271,729,5,ff,bf,176,11,17,145
0x203b90d5bd,51,2,2,2,3537,863,5,ff,bf,176,11,48,146
0x201aa18c4d,51,2,2,2,3403,193,5,ff,bf,176,55,4,147
0x203d91510c,27,2,2,2,3794,785,4,0,2,182,57,27,148
0x200403498f,20,2,2,0,518,665,7,ff,df,184,33,0,149
0x202a6f9ae9,46,2,2,2,1343,429,1,0,10,187,34,12,150
0x202eb0dad5,45,2,2,3,1881,938,5,0,80,188,7,48,151
0x200f565826,50,2,2,0,1956,900,6,ff,ef,190,13,36,152
0x201a2a8ddd,45,2,2,2,3341,219,5,ff,df,190,27,16,153
0x201a2a9c4e,45,2,2,2,3341,449,6,ff,fe,190,27,16,154
0x201a444f32,45,2,2,0,3360,758,2,ff,fd,191,15,19,155
0x2034c7c81b,45,2,2,2,2679,643,3,ff,7f,193,1,16,156
0x203b4c8935,45,2,2,3,3505,150,5,ff,fd,195,6,25,157
0x202be70feb,51,2,2,3,1534,253,3,0,80,198,5,30,158
0x2033bb90f3,51,2,2,0,2527,270,3,ff,ef,199,27,9,159
0x200f3882d8,51,2,2,2,1929,43,0,ff,7f,200,5,45,160
0x201988820f,45,2,2,1,3265,33,7,0,10,200,57,36,161
0x2023a38575,45,2,2,3,479,86,5,ff,7f,201,31,21,162
0x2005095015,14,2,2,3,642,770,5,0,80,201,32,47,163
0x2008389452,51,2,2,3,1033,322,2,ff,ef,202,15,41,164
0x20085cd93d,51,2,2,3,1057,919,5,ff,fe,202,15,41,165
0x2012304ac4,45,2,2,1,2312,680,4,ff,7f,202,24,12,166
0x2020b9c4e1,49,2,2,1,91,588,1,ff,7f,203,32,15,167
0x200d2a8aeb,49,2,2,3,1677,173,3,ff,7f,205,27,52,168
0x2004c49d24,34,2,2,2,609,468,4,ff,f7,206,52,12,169
0x2035f6484c,51,2,2,2,2812,641,4,0,10,213,53,27,170
0x200108d126,49,2,2,3,129,788,6,0,2,214,46,4,171
0x2030cc5f3b,45,2,2,0,2160,1015,3,0,8,216,2,15,172
0x20096fc057,47,2,2,3,1199,514,7,ff,7f,217,58,12,173
0x203a819eb2,34,2,2,2,3411,494,2,0,1,218,29,57,174
0x203a5f93bb,43,2,2,3,3383,319,3,ff,f7,219,4,55,175
0x203eb09edc,47,2,2,3,3929,491,4,ff,7f,219,20,1,176
0x2022669043,48,2,2,0,317,256,3,0,1,221,34,47,177
0x201ec44a81,48,2,2,2,3936,680,1,ff,fb,222,51,52,178
0x203b90d5bd,47,2,2,2,3537,863,5,ff,bf,223,6,8,179
0x202d315bcc,49,2,2,0,1690,953,4,ff,7f,223,11,13,180
0x20313b8446,43,2,2,2,2207,64,6,0,80,223,34,22,181
0x2015e748f1,47,2,2,3,2798,654,1,ff,fb,223,54,19,182
0x20393bd7d6,45,2,2,2,3231,890,6,0,8,224,32,27,183
0x2014efcc6c,45,2,2,0,2671,709,4,ff,df,224,46,47,184
0x200bf58555,45,2,2,2,1515,82,5,ff,bf,227,1,42,185
0x2015fc95c1,51,2,2,0,2793,344,1,ff,fb,227,26,40,186
0x202cab18f9,49,2,2,0,1630,399,1,ff,fd,227,40,44,187
0x201164c74c,49,2,2,1,2217,625,4,ff,fe,227,50,24,188
0x20151b18a7,45,2,2,2,2694,396,7,0,1,230,9,20,189
0x200c139613,49,2,2,1,1543,354,3,ff,fe,230,24,25,190
0x201e99cf09,46,2,2,1,3907,753,1,ff,7f,230,28,43,191
0x203139c3eb,49,2,2,2,2203,573,3,0,10,231,55,53,192
0x203d578d3f,51,2,2,0,3767,215,7,0,2,233,3,30,193
0x2003d4d735,45,2,2,2,481,886,5,0,40,236,19,54,194
0x200718891d,45,2,2,2,897,147,5,0,2,238,20,12,195
0x20037f596c,45,2,2,2,430,917,4,0,80,238,49,4,196
0x2032331df3,51,2,2,1,2334,478,3,ff,fe,239,18,54,197
0x201f310057,41,2,2,0,3978,2,7,ff,fd,240,0,32,198
0x20397cd976,50,2,2,2,3257,918,6,ff,7f,240,30,56,199
0x20398bca0a,45,2,2,1,3287,673,2,0,40,242,30,18,200
0x2021cf0b9f,43,2,2,1,246,187,7,0,4,245,32,55,201
0x2023df44b6,51,2,2,0,502,590,6,ff,bf,245,48,38,202
0x202bb80856,43,2,2,0,1496,130,6,0,1,250,16,48,203
0x200108d126,47,2,2,3,129,788,6,0,2,250,27,12,204
0x2024dcd1b7,45,2,2,1,625,798,7,ff,bf,251,5,15,205
0x2022cc4da0,51,2,2,0,368,732,0,0,20,251,15,52,206
0x2012304ac4,51,2,2,1,2312,680,4,ff,7f,254,33,11,207
0x203c380a56,51,2,2,3,3608,162,6,ff,bf,254,57,20,208
0x2038138331,51,2,2,1,3095,54,1,0,1,255,30,58,209
0x2015fc95c1,44,2,2,0,2793,344,1,ff,fb,256,8,13,210
0x200721487f,47,2,2,1,906,647,7,0,2,256,47,14,211
0x203c811cb6,51,2,2,2,3666,462,6,ff,bf,257,31,18,212
0x2031085431,51,2,2,3,2192,838,1,0,8,258,43,32,213
0x20172ad063,46,2,2,3,2957,772,3,0,4,265,2,53,214
0x202d5d1497,50,2,2,2,1714,330,7,ff,fe,265,22,47,215
0x20171086a7,49,2,2,0,2945,108,7,ff,ef,266,5,50,216
0x20352104ee,46,2,2,1,2714,77,6,0,20,267,12,44,217
0x2013e48570,50,2,2,3,2537,86,0,0,4,267,18,20,218
0x203d301ee6,45,2,2,0,3736,492,6,0,10,267,55,50,219
0x201cc4403b,47,2,2,2,3680,519,3,0,4,268,54,0,220
0x20274fd390,43,2,2,3,951,826,0,ff,bf,269,31,55,221
0x2007809f16,43,2,2,3,961,498,6,ff,7f,269,31,55,222
0x2035f6484c,49,2,2,2,2812,641,4,0,10,269,52,7,223
0x20346554f4,45,2,2,0,2618,846,4,0,8,269,56,10,224
0x202a4c1c2c,50,2,2,2,1328,453,4,0,1,271,9,16,225
0x203ce4407c,47,2,2,2,3704,519,4,0,8,271,18,21,226
0x20141114b2,46,2,2,1,2562,334,2,0,4,272,30,21,227
0x2004df0e85,51,2,2,1,614,232,5,0,2,272,31,12,228
0x2017ab9bd1,34,2,2,1,3023,442,1,ff,fb,274,0,3,229
0x200babd273,43,2,2,1,1487,806,3,0,40,274,25,23,230
0x2031655a6d,48,2,2,1,2234,933,5,ff,fb,275,9,29,231
0x2022991c22,49,2,2,1,338,452,2,ff,f7,275,9,39,232
0x2013e48570,50,2,2,3,2537,86,0,0,4,275,24,22,233
0x200b38c2fc,50,2,2,2,1417,559,4,0,20,276,22,5,234
0x20189a961a,51,2,2,1,3141,355,2,0,20,278,27,18,235
0x2018fe9451,51,2,2,1,3181,322,1,0,80,278,27,18,236
0x202b4e41bb,45,2,2,3,1460,543,3,0,80,279,14,30,237
0x2006569893,51,2,2,1,805,394,3,ff,f7,283,16,3,238
0x200108d126,47,2,2,3,129,788,6,0,2,284,51,40,239
0x200020124e,38,2,2,0,8,289,6,ff,fe,286,36,2,240
0x200bb04fd4,32,2,2,2,1480,762,4,ff,fd,287,37,54,241
0x201e81d88b,48,2,2,2,3907,905,3,0,1,287,54,38,242
0x20247c05cd,13,2,2,3,568,89,5,ff,f7,288,14,49,243
0x20334fc709,45,2,2,3,2487,625,1,ff,fb,289,44,51,244
0x2015fc95c1,45,2,2,0,2793,344,1,ff,fb,290,8,47,245
0x203dd513a1,51,2,2,2,3826,316,1,ff,df,290,58,1,246
0x202e47ceab,45,2,2,0,1847,749,3,0,10,292,37,57,247
0x20152bdf7d,43,2,2,3,2703,1015,5,ff,ef,295,50,15,248
0x200c4f4f90,45,2,2,2,1574,762,0,0,10,295,50,31,249
0x200ad7d3bc,51,2,2,3,1383,831,4,0,10,298,20,46,250
0x203bef9b55,49,2,2,1,3583,434,5,ff,bf,298,29,57,251
0x200222c2dc,45,2,2,0,269,555,4,0,20,298,58,8,252
0x202bdc8d8d,51,2,2,0,1521,217,5,0,40,302,2,0,253
0x201c0a8283,51,2,2,2,3589,40,3,ff,df,302,11,43,254
0x200ad7d3bc,48,2,2,3,1383,831,4,0,10,302,25,39,255
0x2017dd4c9c,20,2,2,0,3042,715,4,0,1,305,15,24,256
0x2029124aa6,51,2,2,0,1172,684,6,ff,bf,305,48,12,257
0x202ba18768,46,2,2,3,1499,117,0,ff,fb,307,14,6,258
0x200108d126,31,2,2,3,129,788,6,0,2,307,21,39,259
0x2025574f22,43,2,2,0,694,756,2,ff,ef,308,6,28,260
0x202f7f9cfc,46,2,2,2,1983,463,4,0,4,308,31,3,261
0x20047fc66d,45,2,2,3,559,613,5,0,2,310,26,27,262
0x200c0159ac,51,2,2,0,1538,925,4,ff,bf,310,27,20,263
0x20254e593d,32,2,2,3,692,919,5,ff,7f,316,15,54,264
0x201f080fb0,46,2,2,3,3968,254,0,ff,f7,319,15,57,265
0x202ed4171b,51,2,2,3,1904,371,3,0,1,321,7,31,266
0x20083a0f65,46,2,2,3,1036,244,5,ff,7f,321,16,17,267
0x203354da13,45,2,2,0,2481,930,3,ff,df,323,49,58,268
0x2008bb82f4,40,2,2,1,1103,46,4,ff,f7,328,28,23,269
0x201a3b5a73,43,2,2,3,3342,934,3,ff,f7,328,57,47,270
0x2025c4172a,47,2,2,3,752,373,2,ff,fd,331,18,0,271
0x203afd1e61,51,2,2,1,3450,484,1,0,4,331,28,14,272
0x20353010c5,51,2,2,0,2712,264,5,0,80,331,52,16,273
0x2032331df3,51,2,2,1,2334,478,3,ff,fe,332,1,56,274
0x2033b0d1c7,51,2,2,2,2521,792,7,0,4,332,21,14,275
0x20376c8bdb,45,2,2,3,3001,187,3,ff,fb,332,34,40,276
0x201608c52c,43,2,2,2,2817,597,4,ff,fe,333,32,3,277
0x2018b817f7,45,2,2,1,3144,382,7,ff,bf,333,37,10,278
