address,N_of_agg,row_inc,distance,bank,row,col,byteoffset,expected_value,flipped_value,hour,min,sec,hammering
0x203c6e5175,50,2,2,2,3644,790,5,ff,ef,0,19,46,1
0x203583cf3e,48,2,2,3,2775,759,6,ff,f7,1,3,16,2
0x2030e484c3,46,2,2,2,2169,72,3,ff,fd,2,10,57,3
0x2018ffca55,27,2,2,1,3183,674,5,0,80,3,40,49,4
0x203a6d506d,46,2,2,2,3386,773,5,0,10,3,43,23,5
0x202e770f41,50,2,2,1,1854,240,1,0,8,3,44,2,6
0x2012b8555e,50,2,2,1,2376,851,6,ff,bf,4,13,13,7
0x201a398ad0,50,2,2,3,3339,170,0,ff,fb,5,6,48,8
0x202de414f6,51,2,2,3,1784,334,6,0,8,5,31,17,9
0x2039e70efa,15,2,2,3,3326,239,2,ff,f7,5,41,30,10
0x20149ada3d,44,2,2,1,2629,935,5,0,20,6,18,38,11
0x200a90c6bf,50,2,2,3,1345,623,7,ff,ef,6,24,37,12
0x202da1147d,46,2,2,3,1754,327,5,0,2,6,33,37,13
0x200d775771,50,2,2,0,1710,886,1,ff,fb,6,43,54,14
0x200d825000,51,2,2,3,1732,768,0,0,40,6,53,57,15
0x2018008d26,44,2,2,0,3073,212,6,ff,bf,7,12,5,16
0x2005280377,39,2,2,3,648,54,7,ff,fe,7,21,11,17
0x203990d00d,44,2,2,2,3281,769,5,ff,df,7,26,47,18
0x20027c1e55,13,2,2,3,296,482,5,0,40,7,52,42,19
0x203565086e,44,2,2,1,2746,133,6,ff,bf,9,18,38,20
0x201599ddbd,47,2,2,0,2755,991,5,0,2,10,22,18,21
0x202f901022,46,2,2,2,2000,260,2,0,1,10,31,57,22
0x201710d935,49,2,2,0,2945,918,5,0,4,10,37,16,23
0x2005df1a36,46,2,2,0,742,422,6,ff,fe,10,46,27,24
0x202d808095,44,2,2,3,1745,10,5,ff,fe,11,15,26,25
0x2005280377,50,2,2,3,648,54,7,ff,fe,11,26,10,26
